﻿等级id,宝石商品1,商品1广告次数,宝石商品2,商品2广告次数,宝石商品3,商品3广告次数,钞票商品1,免费时间,钞票商品2,消耗钻石,钞票商品3,消耗钻石,免费钞票,免费木头1,免费木头2,免费矿1,免费矿2
number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number
id,gemGood1,adCount1,gemGood2,adCount2,gemGood3,adCount3,cashGood1,cashGood1cost,cashGood2,cashGood2cost,cashGood3,cashGood3cost,freeCash,freeWood1,freeWood2,freeOre1,freeOre2
0,50,1,120,2,250,4,100,5,250,90,1000,300,200,20,10,20,10
1,55,1,130,2,265,4,110,5,275,91,1050,301,205,20,10,20,10
2,60,1,140,2,280,4,120,5,300,92,1100,302,210,20,10,20,10
3,65,1,150,2,295,4,130,5,325,93,1150,303,215,20,10,20,10
4,70,1,160,2,310,4,140,5,350,94,1200,304,220,20,10,20,10
5,75,1,170,2,325,4,150,5,375,95,1250,305,225,20,10,20,10
6,80,1,180,2,340,4,160,5,400,96,1300,306,230,20,10,20,10
7,85,1,190,2,355,4,170,5,425,97,1350,307,235,20,10,20,10
8,90,1,200,2,370,4,180,5,450,98,1400,308,240,20,10,20,10
9,95,1,210,2,385,4,190,5,475,99,1450,309,245,20,10,20,10
10,100,1,220,2,400,4,200,5,500,100,1500,310,250,20,10,20,10
11,105,1,230,2,415,4,210,5,525,101,1550,311,255,20,10,20,10
