﻿任务ID,任务名称,下一个任务ID,任务图标,任务坐标,目标数量,镜头偏移,任务消耗,任务奖励
number,string,number,string,string,number,boolean,string,string
id,tip,nextTask,icon,target,maxNum,focus,taskConsume,taskReward
0,前往围栏隘口,1,北极熊,"[0,0,1]",1,false,"[{"money":10}]","[{"star":30}]"
1,击败5只畸变体,2,北极熊,"[2,0,-10]",5,false,,
2,售卖物资,3,熊肉,"[-2.5,0,8]",5,false,,
3,赚取钞票,4,取钱处,"[0.755,0,7.8]",1,false,,
4,解锁武器铺,5,铁匠铺,"[7.6,0,1.5]",1,false,"[{"money":5}]","[{"star":30,"money":20}]"
5,升级：武器,6,武器升级,"[0,0,0]",1,false,,
6,击败10只畸变体,7,北极熊,"[2,0,-10]",10,false,,
7,售卖物资,8,熊肉,"[-2.5,0,8]",10,false,,
8,赚取钞票,9,取钱处,"[0.755,0,7.8]",1,false,,
9,建造：仓库,10,熊肉仓库,"[-4.483,0,1.227]",1,false,"[{"money":15}]","[{"star":30}]"
10,雇佣：行动幸存者,11,砍熊机器人,"[3.634,0,1.227]",1,false,"[{"money":25}]",
11,解锁装卸区,12,剑齿虎,"[-7.9,0,10.56]",1,false,"[{"money":40}]","[{"star":30}]"
12,击败2只装卸畸变体,13,剑齿虎,"[-18.5,0,-19.85]",2,false,,
13,售卖物资,14,虎肉,"[-19.11,0,5.83]",10,false,,
14,升级庇护所,15,篝火,"[9.734,0,10.9]",1,true,"[{"money":60}]","[{"star":30}]"
15,解锁加工区域,16,解锁森林,"[22,0,-4.2]",1,true,"[{"money":30}]","[{"star":30}]"
16,拾起：电源开关,17,拾起斧头,"[30.768,0,-7.24]",1,false,,
17,启动锯木机,18,木头,"[30,0,-11.4]",1,false,,
18,拾取木材,19,木头仓库,"[28,0,-6.568]",1,false,"[{"wood":20}]","[{"star":30}]"
19,建造外围防线,20,围墙,"[27.88,0,10.6]",1,true,"[{"wood":25}]","[{"star":35}]"
20,建造防御塔,21,箭塔,"[25,0,4]",1,false,"[{"wood":30}]","[{"star":35}]"
21,建造小队营地,22,刀兵,"[33.3,0,10.25]",1,true,"[{"wood":35}]",
22,清剿畸变体,23,征服城堡,"[42,0,10.25]",1,true,,
23,解锁矿石区,24,解锁矿区,"[13.2,0,27.052]",1,true,"[{"money":40}]","[{"star":35}]"
24,拾起：镐头,25,拾起镐头,"[1,0,32.5]",1,true,,
25,获取矿石*5,26,矿石,"[-8.79,0,35]",5,false,,
26,建造：矿石仓库,27,矿石仓库,"[4.264,0,26.656]",1,false,"[{"ore":45}]","[{"star":35}]"
27,升级庇护所,28,篝火,"[9.734,0,10.9]",1,false,"[{"ore":50}]","[{"star":35}]"
28,解锁火炮,29,火炮,"[25,0,17.5]",1,false,"[{"ore":55}]","[{"star":35}]"
29,清剿畸变体,30,征服城堡,"[42,0,10.25]",1,false,,
30,研究：畸变体价值,31,熊肉价值,"[0,0,0]",1,false,,
31,雇佣：物资搬运工,32,砍熊搬运,"[3.634,0,1.227]",1,false,"[{"money":200}]",
32,击败5只装卸畸变体,33,剑齿虎,"[-18.5,0,-19.85]",5,false,,
33,招募幸存者,34,刀兵,"[33.3,0,10.25]",1,false,"[{"money":200}]",
34,清剿畸变体,35,征服城堡,"[42,0,10.25]",1,false,,
35,升级：防具,36,防具升级,"[0,0,0]",1,false,,
36,升级：武器,37,武器升级,"[0,0,0]",1,false,,"[{"money":20}]"
37,清剿畸变体,38,征服城堡,"[42,0,10.25]",1,false,,
38,研究：庇护所回复,39,篝火回复,"[0,0,0]",1,false,,
39,招募幸存者,40,刀兵,"[33.3,0,10.25]",1,false,"[{"money":400}]",
40,研究：装卸畸变体价值,41,虎肉价值,"[0,0,0]",1,false,,
41,建造：装卸畸变体仓库,42,虎肉仓库,,1,false,"[{"money":120}]","[{"star":35}]"
42,雇佣：行动幸存者,43,砍虎机器人,,1,false,"[{"money":125}]",
43,建造：烤肉机,44,烤肉机器,,1,false,"[{"money":130}]","[{"star":75}]"
44,建造：烤肉收银台,45,烤肉收银台,,1,false,"[{"money":60}]","[{"star":75}]"
45,获取烤肉*5,46,烤肉,,5,false,,
46,卖烤肉赚钱,47,烤肉,,1,false,,
47,研究：巨熊猎人,48,砍熊机器人,,1,false,"[{"coin":30}]",
48,获取熊肉*15,49,熊肉,,15,false,,
49,升级：武器,50,武器升级,,1,false,,
50,建造盾兵,51,盾兵,,1,false,"[{"wood":10}]",
51,征服城堡,52,征服城堡,,1,false,,
52,升级刀兵,53,刀兵,,1,false,"[{"money":100}]",
53,建造：锯木厂,54,锯木厂,,1,false,"[{"wood":20}]","[{"star":75}]"
54,获取木板*5,55,二级木,,5,false,,
55,解锁猛犸象区域,56,猛犸象,,1,false,"[{"money":200}]","[{"star":75}]"
56,获取火腿,57,猛犸象火腿,,5,false,,
57,征服城堡,58,征服城堡,,1,false,,
58,研究：虎肉价值,59,虎肉价值,,1,false,"[{"coin":40}]",
59,升级盾兵,60,盾兵,,1,false,"[{"money":100}]",
60,建造：火腿片仓库,61,火腿仓库,,1,false,"[{"wood2":10}]","[{"star":75}]"
61,雇佣：巨虎搬运工,62,砍虎搬运,,1,false,"[{"money":220}]",
62,升级刀兵,63,刀兵,,1,false,"[{"money":100}]",
63,征服城堡,64,征服城堡,,1,false,,
64,建造：火腿切片器,65,切片机器,,1,false,"[{"money":240}]","[{"star":75}]"
65,建造：披萨窑炉,66,披萨窑炉,,1,false,"[{"money":260}]","[{"star":90}]"
66,建造披萨收银台,67,披萨收银台,,1,false,"[{"wood2":15}]","[{"star":90}]"
67,升级盾兵,68,盾兵,,1,false,"[{"money":100}]",
68,征服城堡,69,征服城堡,,1,false,,
69,雇佣：巨虎猎人,70,砍象机器人,,1,false,"[{"money":280}]",
70,建造：粉碎机,71,矿机,,1,false,"[{"money":300}]","[{"star":90}]"
71,获取铁锭*5,72,二级矿,,5,false,,"[{"star":90}]"
72,升级：熊肉仓库,73,熊肉仓库,,1,false,"[{"money":320}]","[{"star":90}]"
73,升级：虎肉仓库,74,虎肉仓库,,1,false,"[{"ore2":10}]","[{"star":90}]"
74,升级：烤肉机,75,烤肉机器,,1,false,"[{"money":320}]","[{"star":90}]"
75,升级：烤肉收银台,76,烤肉收银台,,1,false,"[{"money":320}]","[{"star":90}]"
76,建造枪兵,77,枪兵,,1,false,"[{"wood2":10}]",
77,征服城堡,78,征服城堡,,1,false,,
78,升级：熊肉仓库,79,熊肉仓库,,1,false,"[{"money":350}]","[{"star":115}]"
79,升级：火腿片仓库,80,火腿仓库,,1,false,"[{"money":380,"wood":50}]","[{"star":115}]"
80,雇佣：猛犸搬运工,81,砍象搬运,,1,false,"[{"money":410,"ore2":10}]",
81,升级：火腿切片器,82,切片机器,,1,false,"[{"money":440,"wood2":10}]","[{"star":115}]"
82,升级：披萨窑炉,83,披萨窑炉,,1,false,"[{"money":470,"crown":1}]","[{"star":115}]"
83,升级枪兵,84,枪兵,,1,false,"[{"money":470}]",
84,征服城堡,85,征服城堡,,1,false,,
85,研究：巨虎猎人,86,砍虎机器人,,1,false,,
86,升级：锯木厂,87,锯木厂,,1,false,"[{"wood2":10,"ore2":10}]","[{"star":115}]"
87,升级刀兵,88,刀兵,,1,false,"[{"money":500}]",
88,征服城堡,89,征服城堡,,1,false,,
89,研究：伐木工数量+1,90,伐木工,,1,false,,
90,升级：熊肉仓库,91,熊肉仓库,,1,false,"[{"money":500,"crown":1}]","[{"star":130}]"
91,升级：虎肉仓库,92,虎肉仓库,,1,false,"[{"money":500}]","[{"star":130}]"
92,升级：烤肉机,93,烤肉机器,,1,false,"[{"money":500}]","[{"star":130}]"
93,升级：烤肉收银台,94,烤肉收银台,,1,false,"[{"money":500,"crown":1}]","[{"star":130}]"
94,升级：粉碎机,95,矿机,,1,false,"[{"money":500}]","[{"star":130}]"
95,升级盾兵,96,盾兵,,1,false,"[{"money":500}]",
96,征服城堡,97,征服城堡,,1,false,,
97,研究：矿工数量+1,98,矿工,,1,false,,
98,升级：火腿片仓库,99,火腿仓库,,1,false,"[{"money":500,"crown":1}]","[{"star":130}]"
99,升级：火腿切片器,100,切片机器,,1,false,"[{"money":500,"ore2":10}]","[{"star":145}]"
100,升级：披萨窑炉,101,披萨窑炉,,1,false,"[{"money":500,"wood2":10}]","[{"star":145}]"
101,升级枪兵,102,枪兵,,1,false,"[{"money":500}]",
102,征服城堡,103,征服城堡,,1,false,,
103,研究：猛犸猎人,104,砍象机器人,,1,false,,
104,升级：虎肉仓库,105,虎肉仓库,,1,false,"[{"money":500,"crown":1}]","[{"star":145}]"
105,升级：烤肉机,106,烤肉机器,,1,false,"[{"money":500,"ore2":10}]","[{"star":145}]"
106,升级：烤肉收银台,107,烤肉收银台,,1,false,"[{"money":500,"wood2":10}]","[{"star":145}]"
107,升级刀兵,108,刀兵,,1,false,"[{"money":470}]",
108,征服城堡,109,征服城堡,,1,false,,
109,研究：伐木工数量,110,伐木工,,1,false,,
110,升级：火腿片仓库,111,火腿仓库,,1,false,"[{"money":500,"ore2":10}]","[{"star":145}]"
111,升级：火腿切片器,112,切片机器,,1,false,"[{"money":500,"wood2":10}]","[{"star":160}]"
112,升级：披萨窑炉,113,披萨窑炉,,1,false,"[{"money":500,"wood":50}]","[{"star":160}]"
113,升级盾兵,114,盾兵,,1,false,"[{"money":470}]",
114,征服城堡,115,征服城堡,,1,false,,
115,研究：矿工数量,116,矿工,,1,false,,
116,升级：熊肉仓库,117,熊肉仓库,,1,false,"[{"money":500,"crown":1}]","[{"star":160}]"
117,赚取钞票,118,取钱处,,1,false,,
118,升级枪兵,119,枪兵,,1,false,"[{"money":470}]",
119,征服城堡,120,征服城堡,,1,false,,
120,研究：熊肉价值,121,熊肉价值,,1,false,,
121,升级：武器,122,武器升级,,1,false,,
122,升级：虎肉仓库,123,虎肉仓库,,1,false,"[{"money":470,"crown":1}]","[{"star":160}]"
123,升级：烤肉机,124,烤肉机器,,1,false,"[{"money":470,"wood2":10}]","[{"star":160}]"
124,升级：烤肉收银台,125,烤肉收银台,,1,false,"[{"money":470,"wood":50}]","[{"star":160}]"
125,赚取钞票,126,取钱处,,1,false,,
126,升级：防具,127,防具升级,,1,false,,
127,升级刀兵,128,刀兵,,1,false,"[{"money":470}]",
128,征服城堡,129,征服城堡,,1,false,,
129,研究：虎肉价值,130,虎肉价值,,1,false,,
130,升级：火腿片仓库,131,火腿仓库,,1,false,"[{"money":500,"ore":50}]","[{"star":175}]"
131,升级：火腿切片器,132,切片机器,,1,false,"[{"money":500,"ore2":10}]","[{"star":175}]"
132,升级：披萨窑炉,133,披萨窑炉,,1,false,"[{"money":500,"wood2":10}]","[{"star":175}]"
133,赚取钞票,134,取钱处,,1,false,,
134,升级：武器,135,武器升级,,1,false,,
135,升级盾兵,136,盾兵,,1,false,"[{"money":500}]",
136,征服城堡,137,征服城堡,,1,false,,
137,研究：烤肉价值,138,烤肉价值,,1,false,,
